latest_reference_month,release_date,actual_jobs,consensus_jobs,surprise,previous_month_reference,original_value,revised_value,revision_change,revision_commentary,meta_commentary,event_type,ivv_same_day_return,ivv_next_day_return,t0,t1
Jun,2020-07-02 00:00:00-04:00,"4,800K","3,000K",1800K,May,"2,509K","2,699K",190K,May was revised up by 190K.,Jun jobs report showed 4800K vs 3000K expected. Big upside surprise. May was revised up by 190K.,jobs,0.015345192682989284,-0.010305984727860151,2020-07-05 00:00:00-04:00,2020-07-06 00:00:00-04:00
May,2020-06-05 00:00:00-04:00,"2,509K","-8,000K",10509K,Apr,"-20,537K","-20,687K",-150K,Apr was sharply revised down by 150K.,May jobs report showed 2509K vs -8000K expected. Big upside surprise. Apr was sharply revised down by 150K.,jobs,0.012231458008487683,-0.007367423943898999,2020-06-07 00:00:00-04:00,2020-06-08 00:00:00-04:00
Apr,2020-05-08 00:00:00-04:00,"-20,537K","-22,000K",1463K,Mar,-701K,-870K,-169K,Mar was sharply revised down by 169K.,Apr jobs report showed -20537K vs -22000K expected. Big upside surprise. Mar was sharply revised down by 169K.,jobs,-3.406103670333671e-05,-0.020378187063739728,2020-05-10 00:00:00-04:00,2020-05-11 00:00:00-04:00
Mar,2020-04-03 00:00:00-04:00,-701K,-100K,-601K,Feb,273K,275K,2K,Feb was revised up by 2K.,Mar jobs report showed -701K vs -100K expected. Significant downside surprise. Feb was revised up by 2K.,jobs,0.06738390165678299,0.0004139091597847866,2020-04-05 00:00:00-04:00,2020-04-06 00:00:00-04:00
Feb,2020-03-06 00:00:00-05:00,273K,175K,98K,Jan,225K,273K,48K,Jan was revised up by 48K.,Feb jobs report showed 273K vs 175K expected. Big upside surprise. Jan was revised up by 48K.,jobs,-0.08001341370442727,0.05367522969902505,2020-03-08 00:00:00-05:00,2020-03-09 00:00:00-04:00
Jan,2020-02-07 00:00:00-05:00,225K,160K,65K,Dec,145K,147K,2K,Dec was revised up by 2K.,Jan jobs report showed 225K vs 160K expected. Big upside surprise. Dec was revised up by 2K.,jobs,0.00740083852100204,0.0018442934519684595,2020-02-09 00:00:00-05:00,2020-02-10 00:00:00-05:00
Dec,2020-01-10 00:00:00-05:00,145K,164K,-19K,Nov,266K,256K,-10K,Nov was revised down by 10K.,Dec jobs report showed 145K vs 164K expected. Slight downside miss. Nov was revised down by 10K.,jobs,0.007000197970432609,-0.0015482677639667708,2020-01-12 00:00:00-05:00,2020-01-13 00:00:00-05:00
Nov,2019-12-06 00:00:00-05:00,266K,186K,80K,Oct,128K,156K,28K,Oct was revised up by 28K.,Nov jobs report showed 266K vs 186K expected. Big upside surprise. Oct was revised up by 28K.,jobs,-0.0029687450871737076,-0.0010450172255876966,2019-12-08 00:00:00-05:00,2019-12-09 00:00:00-05:00
Oct,2019-11-01 00:00:00-04:00,128K,89K,39K,Sep,136K,180K,44K,Sep was revised up by 44K.,Oct jobs report showed 128K vs 89K expected. Slight upside beat. Sep was revised up by 44K.,jobs,0.0037671284519851245,0.0,2019-11-03 00:00:00-04:00,2019-11-03 00:00:00-04:00
Sep,2019-10-04 00:00:00-04:00,136K,140K,-4K,Aug,130K,168K,38K,Aug was revised up by 38K.,Sep jobs report showed 136K vs 140K expected. Slight downside miss. Aug was revised up by 38K.,jobs,-0.004492841801159053,-0.015473889349294168,2019-10-06 00:00:00-04:00,2019-10-07 00:00:00-04:00
Aug,2019-09-06 00:00:00-04:00,130K,160K,-30K,Jul,164K,159K,-5K,Jul was revised down by 5K.,Aug jobs report showed 130K vs 160K expected. Slight downside miss. Jul was revised down by 5K.,jobs,0.00046671926589803014,-6.659510956852355e-05,2019-09-08 00:00:00-04:00,2019-09-09 00:00:00-04:00
Jul,2019-08-02 00:00:00-04:00,164K,164K,0K,Jun,224K,193K,-31K,Jun was revised down by 31K.,Jul jobs report showed 164K vs 164K expected. Jun was revised down by 31K.,jobs,-0.03005912798115873,0.01334178101566419,2019-08-04 00:00:00-04:00,2019-08-05 00:00:00-04:00
Jun,2019-07-05 00:00:00-04:00,224K,160K,64K,May,75K,72K,-3K,May was revised down by 3K.,Jun jobs report showed 224K vs 160K expected. Big upside surprise. May was revised down by 3K.,jobs,-0.00516554074615061,0.0016082467827192026,2019-07-07 00:00:00-04:00,2019-07-08 00:00:00-04:00
May,2019-06-07 00:00:00-04:00,75K,185K,-110K,Apr,263K,224K,-39K,Apr was revised down by 39K.,May jobs report showed 75K vs 185K expected. Significant downside surprise. Apr was revised down by 39K.,jobs,0.004591297979565256,-0.00017168715188076167,2019-06-09 00:00:00-04:00,2019-06-10 00:00:00-04:00
Apr,2019-05-03 00:00:00-04:00,263K,181K,82K,Mar,196K,189K,-7K,Mar was revised down by 7K.,Apr jobs report showed 263K vs 181K expected. Big upside surprise. Mar was revised down by 7K.,jobs,-0.0037493655007705406,-0.0169212668876757,2019-05-05 00:00:00-04:00,2019-05-06 00:00:00-04:00
Mar,2019-04-05 00:00:00-04:00,196K,175K,21K,Feb,20K,33K,13K,Feb was revised up by 13K.,Mar jobs report showed 196K vs 175K expected. Slight upside beat. Feb was revised up by 13K.,jobs,0.0011013897282090568,-0.005158870583052533,2019-04-07 00:00:00-04:00,2019-04-08 00:00:00-04:00
Feb,2019-03-08 00:00:00-05:00,20K,181K,-161K,Jan,304K,311K,7K,Jan was revised up by 7K.,Feb jobs report showed 20K vs 181K expected. Significant downside surprise. Jan was revised up by 7K.,jobs,0.014518374791234967,0.003533112146945294,2019-03-10 00:00:00-05:00,2019-03-11 00:00:00-04:00
Jan,2019-02-01 00:00:00-05:00,304K,165K,139K,Dec,312K,222K,-90K,Dec was revised down by 90K.,Jan jobs report showed 304K vs 165K expected. Big upside surprise. Dec was revised down by 90K.,jobs,0.00717720400477484,0.00427546178903615,2019-02-03 00:00:00-05:00,2019-02-04 00:00:00-05:00
Dec,2019-01-04 00:00:00-05:00,312K,178K,134K,Nov,155K,176K,21K,Nov was revised up by 21K.,Dec jobs report showed 312K vs 178K expected. Big upside surprise. Nov was revised up by 21K.,jobs,0.006730827696777908,0.00985265046640138,2019-01-06 00:00:00-05:00,2019-01-07 00:00:00-05:00
Nov,2018-12-07 00:00:00-05:00,155K,200K,-45K,Oct,250K,237K,-13K,Oct was revised down by 13K.,Nov jobs report showed 155K vs 200K expected. Slight downside miss. Oct was revised down by 13K.,jobs,0.0015057066629640126,0.0001878661810001958,2018-12-09 00:00:00-05:00,2018-12-10 00:00:00-05:00
Oct,2018-11-02 00:00:00-04:00,250K,193K,57K,Sep,134K,118K,-16K,Sep was revised down by 16K.,Oct jobs report showed 250K vs 193K expected. Big upside surprise. Sep was revised down by 16K.,jobs,0.006133816320747387,0.0,2018-11-04 00:00:00-04:00,2018-11-04 00:00:00-04:00
Sep,2018-10-05 00:00:00-04:00,134K,185K,-51K,Aug,201K,270K,69K,Aug was revised up by 69K.,Sep jobs report showed 134K vs 185K expected. Significant downside surprise. Aug was revised up by 69K.,jobs,3.4625157933065864e-05,-0.0012071278248263484,2018-10-07 00:00:00-04:00,2018-10-08 00:00:00-04:00
